
Dump of file C:\Windows\System32\nvcuda.dll

File Type: DLL

  Section contains the following exports for nvcuda_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        324  143 00205D1C cuMemcpy2DUnaligned
        325  144 00205D22 cuMemcpy2DUnaligned_v2
        326  145 00205D28 cuMemcpy2DUnaligned_v2_ptds
        327  146 00205D10 cuMemcpy2D_v2
        328  147 00205D16 cuMemcpy2D_v2_ptds
        329  148 00205D2E cuMemcpy3D
        330  149 00206256 cuMemcpy3DAsync
        331  14A 0020625C cuMemcpy3DAsync_v2
        332  14B 00206262 cuMemcpy3DAsync_v2_ptsz
        333  14C 002063DC cuMemcpy3DPeer
        334  14D 002063E8 cuMemcpy3DPeerAsync
        335  14E 002063EE cuMemcpy3DPeerAsync_ptsz
        336  14F 002063E2 cuMemcpy3DPeer_ptds
        337  150 00205D34 cuMemcpy3D_v2
        338  151 00205D3A cuMemcpy3D_v2_ptds
        339  152 002061DE cuMemcpyAsync
        340  153 002061E4 cuMemcpyAsync_ptsz
        341  154 00205C7A cuMemcpyAtoA
        342  155 00205C80 cuMemcpyAtoA_v2
        343  156 00205C86 cuMemcpyAtoA_v2_ptds
        344  157 00205C8C cuMemcpyAtoD
        345  158 00205C92 cuMemcpyAtoD_v2
        346  159 00205C98 cuMemcpyAtoD_v2_ptds
        347  15A 00205C9E cuMemcpyAtoH
        348  15B 00206232 cuMemcpyAtoHAsync
        349  15C 00206238 cuMemcpyAtoHAsync_v2
        350  15D 0020623E cuMemcpyAtoHAsync_v2_ptsz
        351  15E 00205CA4 cuMemcpyAtoH_v2
        352  15F 00205CAA cuMemcpyAtoH_v2_ptds
        353  160 00205CB0 cuMemcpyDtoA
        354  161 00205CB6 cuMemcpyDtoA_v2
        355  162 00205CBC cuMemcpyDtoA_v2_ptds
        356  163 00205CD4 cuMemcpyDtoD
        357  164 002061EA cuMemcpyDtoDAsync
        358  165 002061F0 cuMemcpyDtoDAsync_v2
        359  166 002061F6 cuMemcpyDtoDAsync_v2_ptsz
        360  167 00205CDA cuMemcpyDtoD_v2
