
Dump of file C:\Windows\System32\MapControlCore.dll

File Type: DLL

  Section contains the following exports for MapControlCore.dll

    00000000 characteristics
    D8AEB8AE time date stamp
        0.00 version
           1 ordinal base
         250 number of functions
         250 number of names

    ordinal hint RVA      name

        233   E1 00016DC0 ?SetInstanceId@OperationAdapterCore@@IEAAXH@Z
        234   E2 00009F00 ?SetKeyValidationStatus@MapsSettings@@SAJH@Z
        235   E3 000151D0 ?SetLatitude@GeoCoordinates@core@@UEAAXN@Z
        236   E4 00009F60 ?SetLimitNetworkUsage@MapsSettings@@SAJ_N@Z
        237   E5 000151F0 ?SetLongitude@GeoCoordinates@core@@UEAAXN@Z
        238   E6 00016DD0 ?SetProgress@OperationAdapterCore@@MEAAXK@Z
        239   E7 00016E40 ?SetProgress@QueryAdapterCore@@MEAAXK@Z
        241   E8 00016E70 ?SetStatus@QueryAdapterCore@@IEAAXW4QueryStatus@@@Z
        244   E9 00001DC0 ?UnregisterListener@SuspendResumeDispatcher@@SAXPEAVISuspendResumeListener@@@Z
        246   EA 00002AD0 ?WaitOnClose@MosThread@@SAXXZ
        247   EB 0000C140 ?_CoreInitialize@RouterAdapterCore@@IEAAJHV?$unique_ptr@UIThreadSignal@@U?$destroy_delete@UIThreadSignal@@@@@std@@@Z
        248   EC 000178B0 ?_CoreUninitialize@RouterAdapterCore@@IEAAXXZ
        249   ED 000364A4 ?c_DefaultDrivingRouteOptions@RouterAdapterCore@@2URouteOptions@engine@@B
        250   EE 000364AC ?c_DefaultWalkingRouteOptions@RouterAdapterCore@@2URouteOptions@engine@@B
        156   EF 00003880 GetMosThreadInstance
        157   F0 00016A00 GetMosThreadInstanceWithoutWait
