
Dump of file C:\Windows\System32\dmdskmgr.dll

File Type: DLL

  Section contains the following exports for DMDskMgr.dll

    00000000 characteristics
    83EA7E34 time date stamp
        0.00 version
           1 ordinal base
         233 number of functions
         233 number of names

    ordinal hint RVA      name

        194   BF 00022E20 ?IsUnknownPartition@CDMNodeObj@@QEAAHXZ
        195   C0 00022F70 ?IsUpgradeable@CDMNodeObj@@QEAAHXZ
        196   C1 00022FD0 ?IsVolumeArrived@CDMNodeObj@@QEAAJ_JW4_LAYOUT_TYPES@@@Z
        197   C2 000230B0 ?IsVolumeSimple@CDMNodeObj@@QEAAHXZ
        198   C3 000139F0 ?IsWolfpack@CDataCache@@QEAAHXZ
        199   C4 00028400 ?IsWolfpack@CTaskData@@QEAAHXZ
        200   C5 00017600 ?LoadData@CDMComponentData@@QEAAXPEAVCDMScopeNode@@J@Z
        202   C6 00023150 ?MarkDiskForLastVolume@CDMNodeObj@@QEAAXPEAV1@@Z
        203   C7 000231E0 ?MarkDisksForLastVolume@CDMNodeObj@@QEAAXXZ
        204   C8 000232D0 ?OnlyContiguousExtendAllowed@CDMNodeObj@@QEAAHXZ
        205   C9 0000DAF0 ?PopUpInit@CContextMenu@@QEAAXPEAVCDMNodeObj@@AEAH1H@Z
        206   CA 00004480 ?PopulateDiskGroupData@CDataCache@@QEAAXPEAUDISK_GROUP_DATA@@@Z
        207   CB 00013FE0 ?PopulateEncapsulateData@CDataCache@@QEAAXPEAUENCAPSULATE_DATA@@@Z
        208   CC 00023530 ?RecalculateSpace@CDMNodeObj@@QEAAXXZ
        209   CD 00017B30 ?RefreshDiskView@CDMComponentData@@QEAAXPEAVCDMScopeNode@@@Z
        210   CE 0000F490 ?RefreshFileSys@CContextMenu@@QEAAX_J@Z
        211   CF 00017C70 ?ReloadData@CDMComponentData@@QEAAXPEAVCDMScopeNode@@@Z
        212   D0 0001B4A0 ?SetDescriptionBarText@CDMSnapin@@QEAAX_J@Z
        213   D1 00014820 ?SetDiskList@CDataCache@@QEAAXPEAUdiskinfoex@@K@Z
        214   D2 00014900 ?SetDriveLetterInUse@CDataCache@@QEAAXGH@Z
        215   D3 00023610 ?SetFSId@CDMNodeObj@@QEAAX_J@Z
        216   D4 00017F60 ?SetOcxViewType@CDMComponentData@@QEAAXPEAVCDMScopeNode@@@Z
        217   D5 00018030 ?SetOcxViewTypeForce@CDMComponentData@@QEAAXPEAVCDMScopeNode@@@Z
        218   D6 000284A0 ?SetUIState@CTaskData@@QEAAXK@Z
        219   D7 00014A00 ?SetVolumeList@CDataCache@@QEAAXPEAUvolumeinfo@@KPEAVCTaskData@@@Z
        220   D8 0000F720 ?ShowContextMenu@CContextMenu@@QEAAJPEAVCWnd@@JJ_J@Z
        221   D9 00014AC0 ?SupportGpt@CDataCache@@QEAAHXZ
        222   DA 000285D0 ?SupportGpt@CTaskData@@QEAAHXZ
        223   DB 00014AD0 ?SupportMirror@CDataCache@@QEAAHXZ
        224   DC 00014AE0 ?SupportRaid5@CDataCache@@QEAAHXZ
        225   DD 00018070 ?UIStateChange@CDMComponentData@@QEAAXPEAVCDMScopeNode@@K@Z
        226   DE 0001B890 ?UpDateConsoleView@CDMSnapin@@QEAAX_J@Z
        227   DF 000236E0 ?VolumeContainsActiveRegion@CDMNodeObj@@QEAAHXZ
        228   E0 000285F0 CompareDiskNames
        229   E1 00028690 CookieSort
        230   E2 00004020 DllCanUnloadNow
        231   E3 00003C40 DllGetClassObject
        232   E4 00018BD0 DllRegisterServer
        124   E5 00012C90 GetPropertyPageData
        190   E6 000138B0 IsRequestPending
        201   E7 00013A10 LoadPropertyPageData
        233   E8 000287C0 namecmp

  Summary

        7000 .data
        1000 .didat
        3000 .pdata
       14000 .rdata
        1000 .reloc
        1000 .rsrc
       29000 .text
