
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvcuda32.dll

File Type: DLL

  Section contains the following exports for nvcuda.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        409  198 001C1EE0 cuMemsetD32_v2_ptds
        410  199 001E9EB0 cuMemsetD8
        411  19A 001F1CF0 cuMemsetD8Async
        412  19B 001C2770 cuMemsetD8Async_ptsz
        413  19C 001F0420 cuMemsetD8_v2
        414  19D 001C1A70 cuMemsetD8_v2_ptds
        415  19E 001C57F0 cuMipmappedArrayCreate
        416  19F 001C5ED0 cuMipmappedArrayDestroy
        417  1A0 001C59F0 cuMipmappedArrayGetLevel
        418  1A1 001C40B0 cuMipmappedArrayGetSparseProperties
        419  1A2 001BA040 cuModuleGetFunction
        420  1A3 001E63A0 cuModuleGetGlobal
        421  1A4 001BA440 cuModuleGetGlobal_v2
        422  1A5 001BAEE0 cuModuleGetSurfRef
        423  1A6 001BACF0 cuModuleGetTexRef
        424  1A7 001B94E0 cuModuleLoad
        425  1A8 001B96C0 cuModuleLoadData
        426  1A9 001B98A0 cuModuleLoadDataEx
        427  1AA 001B9A80 cuModuleLoadFatBinary
        428  1AB 001B9C60 cuModuleUnload
        429  1AC 001DC440 cuOccupancyAvailableDynamicSMemPerBlock
        430  1AD 001DBB30 cuOccupancyMaxActiveBlocksPerMultiprocessor
        431  1AE 001DBD90 cuOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
        432  1AF 001DBF80 cuOccupancyMaxPotentialBlockSize
        433  1B0 001DC1D0 cuOccupancyMaxPotentialBlockSizeWithFlags
        434  1B1 001D27A0 cuParamSetSize
        435  1B2 001D3540 cuParamSetTexRef
        436  1B3 001D2B70 cuParamSetf
        437  1B4 001D2980 cuParamSeti
        438  1B5 001D2D80 cuParamSetv
        439  1B6 001C9CB0 cuPointerGetAttribute
        440  1B7 001CA910 cuPointerGetAttributes
        441  1B8 001CA710 cuPointerSetAttribute
        442  1B9 002022B0 cuProfilerInitialize
        443  1BA 002024B0 cuProfilerStart
        444  1BB 00202660 cuProfilerStop
        445  1BC 001F55A0 cuSignalExternalSemaphoresAsync
        446  1BD 001CFEF0 cuSignalExternalSemaphoresAsync_ptsz
        447  1BE 001F32F0 cuStreamAddCallback
        448  1BF 001CBAF0 cuStreamAddCallback_ptsz
        449  1C0 001F3500 cuStreamAttachMemAsync
        450  1C1 001CC6B0 cuStreamAttachMemAsync_ptsz
        451  1C2 001F4F40 cuStreamBatchMemOp
        452  1C3 001D0D40 cuStreamBatchMemOp_ptsz
        453  1C4 001F59C0 cuStreamBeginCapture
        454  1C5 001F5BA0 cuStreamBeginCapture_ptsz
        455  1C6 001F5D80 cuStreamBeginCapture_v2
        456  1C7 001CBD00 cuStreamBeginCapture_v2_ptsz
        457  1C8 001F6900 cuStreamCopyAttributes
        458  1C9 001CCF50 cuStreamCopyAttributes_ptsz
        459  1CA 001CAB20 cuStreamCreate
        460  1CB 001CAE20 cuStreamCreateWithPriority
        461  1CC 001ED2F0 cuStreamDestroy
        462  1CD 001CCC80 cuStreamDestroy_v2
        463  1CE 001F5F70 cuStreamEndCapture
        464  1CF 001CC0E0 cuStreamEndCapture_ptsz
