
Dump of file C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_518f2921ba495409\igdgmm64.dll

File Type: DLL

  Section contains the following exports for igdgmm64.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         287 number of functions
         287 number of names

    ordinal hint RVA      name

        157   9C 00002A70 ?GetSamplePattern@GmmResourceInfoCommon@GmmLib@@UEAA?AW4GMM_MSAA_SAMPLE_PATTERN_REC@@XZ
        158   9D 00002A80 ?GetSetCpSurfTag@GmmResourceInfoCommon@GmmLib@@UEAAIEI@Z
        159   9E 0016E170 ?GetSetGfxPartitionProcessSingleton@GmmClientContext@GmmLib@@AEAAXTGMM_ESCAPE_HANDLE_REC@@0PEAU__GMM_GFX_PARTITIONING@@ETGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        160   9F 00002A90 ?GetSetHardwareProtection@GmmResourceInfoCommon@GmmLib@@UEAAEEE@Z
        161   A0 00002A90 ?GetSetHardwareProtection@GmmResourceInfoWin@GmmLib@@UEAAEEE@Z
        162   A1 0016DEE0 ?GetSetProcessGfxPartition@GmmClientContext@GmmLib@@AEAAITGMM_ESCAPE_HANDLE_REC@@0PEAU__GMM_GFX_PARTITIONING@@ETGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        163   A2 00002AC0 ?GetSize@GmmResourceInfoCommon@GmmLib@@UEAA_KW4GMM_SIZE_PARAM@@@Z
        164   A3 00002B90 ?GetSizeAllocation@GmmResourceInfoCommon@GmmLib@@UEAA_KXZ
        165   A4 00002BF0 ?GetSizeAuxSurface@GmmResourceInfoCommon@GmmLib@@UEAA_KW4GMM_UNIFIED_AUX_TYPE@@@Z
        166   A5 00002CD0 ?GetSizeMainSurface@GmmResourceInfoCommon@GmmLib@@UEBA_KXZ
        167   A6 00002CE0 ?GetSizeSurface@GmmResourceInfoCommon@GmmLib@@UEAA_KXZ
        168   A7 0016CAD0 ?GetSkuTable@GmmClientContext@GmmLib@@UEAAAEBU_SKU_FEATURE_TABLE@@XZ
        169   A8 00002D40 ?GetStdLayoutSize@GmmResourceInfoCommon@GmmLib@@UEAA_KXZ
        170   A9 00147A90 ?GetStdTilingModeExtSurfaceState@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        171   AA 0016CC10 ?GetSurfaceStateCompressionFormat@GmmClientContext@GmmLib@@UEAAEW4GMM_RESOURCE_FORMAT_ENUM@@@Z
        172   AB 0016CBD0 ?GetSurfaceStateFormat@GmmClientContext@GmmLib@@UEAA?AW4GMM_SURFACESTATE_FORMAT_ENUM@@W4GMM_RESOURCE_FORMAT_ENUM@@@Z
