
Dump of file C:\Windows\System32\rpcrt4.dll

File Type: DLL

  Section contains the following exports for RPCRT4.dll

    00000000 characteristics
    E1D764F5 time date stamp
        0.00 version
        1000 ordinal base
         556 number of functions
         555 number of names

    ordinal hint RVA      name

       1449  1BC 000A5040 RpcMgmtWaitServerListen
       1450  1BD 000B52F0 RpcNetworkInqProtseqsA
       1451  1BE 00068FB0 RpcNetworkInqProtseqsW
       1452  1BF 000B5390 RpcNetworkIsProtseqValidA
       1453  1C0 00068E10 RpcNetworkIsProtseqValidW
       1454  1C1 000B5500 RpcNsBindingInqEntryNameA
       1455  1C2 000A6720 RpcNsBindingInqEntryNameW
       1456  1C3 000A5070 RpcObjectInqType
       1457  1C4 000A50E0 RpcObjectSetInqFn
       1458  1C5 00060DB0 RpcObjectSetType
       1459  1C6 000B5580 RpcProtseqVectorFreeA
       1460  1C7 00068F30 RpcProtseqVectorFreeW
       1461  1C8 0005C030 RpcRaiseException
       1462  1C9 000A5120 RpcRevertContainerImpersonation
       1463  1CA 00059D50 RpcRevertToSelf
       1464  1CB 0005AEA0 RpcRevertToSelfEx
       1465  1CC 000A5180 RpcServerCompleteSecurityCallback
       1466  1CD 0004CBF0 RpcServerInqBindingHandle
       1467  1CE 00030820 RpcServerInqBindings
       1468  1CF 00071CF0 RpcServerInqBindingsEx
       1469  1D0 0004A030 RpcServerInqCallAttributesA
       1470  1D1 0004A540 RpcServerInqCallAttributesW
       1471  1D2 000A51E0 RpcServerInqDefaultPrincNameA
       1472  1D3 00006390 RpcServerInqDefaultPrincNameW
       1473  1D4 000A5240 RpcServerInqIf
       1474  1D5 000304D0 RpcServerInterfaceGroupActivate
       1475  1D6 0002FE90 RpcServerInterfaceGroupClose
       1476  1D7 000A5290 RpcServerInterfaceGroupCreateA
       1477  1D8 0006A740 RpcServerInterfaceGroupCreateW
       1478  1D9 000689E0 RpcServerInterfaceGroupDeactivate
       1479  1DA 000A5680 RpcServerInterfaceGroupInqBindings
       1480  1DB 00065990 RpcServerListen
       1481  1DC 0006CC70 RpcServerRegisterAuthInfoA
       1482  1DD 00006A30 RpcServerRegisterAuthInfoW
       1483  1DE 00072230 RpcServerRegisterIf
       1484  1DF 0006CD20 RpcServerRegisterIf2
       1485  1E0 0000CF90 RpcServerRegisterIf3
       1486  1E1 00066D00 RpcServerRegisterIfEx
       1487  1E2 0005C400 RpcServerSubscribeForNotification
       1488  1E3 0003B9C0 RpcServerTestCancel
       1489  1E4 0000BF40 RpcServerUnregisterIf
       1490  1E5 00067590 RpcServerUnregisterIfEx
       1491  1E6 0005C300 RpcServerUnsubscribeForNotification
       1492  1E7 000A56D0 RpcServerUseAllProtseqs
       1493  1E8 000A5700 RpcServerUseAllProtseqsEx
